번호,공고일자,청약 접수기간,시도,시군구,주소,주택유형,전용면적(m2),임대보증금액,href_id,address,x,y,img,deposit,m2,deposit_m2,distanceM_near_station,near_station,expected_time,distance_comp,신청자수
476,20250326,2025.03.26. 10:00 ~ 2025.04.07. 17:00,서울특별시                                                                                          ,서울 강서구                                                                                         ,"서울 강서구 화곡동 102-23, 102-247 프라임하우스 5층 504호                                                                                                                                                                                                                                                    ",다세대주택                                                                                          ,27.3,"171,900,000",no=2022135020,서울 강서구 화곡동 102-23,37.5397385418609,126.84666648261,http://www.khug.or.kr/updata/hug/cm/s05/007001742880333222000015.png,17190.0,27.3,629.6703296703297,588,화곡역 5호선,54.65,21705,9
475,20250326,2025.03.26. 10:00 ~ 2025.04.07. 17:00,서울특별시                                                                                          ,서울 강서구                                                                                         ,서울 강서구 화곡동 102-288 아크로뷰 2층 202호                                                                                                                                                                                                                                                                ,다세대주택                                                                                          ,29.81,"168,300,000",no=2024345115,서울 강서구 화곡동 102-288 아크로뷰 2층 202호,37.5393540781785,126.847008187612,http://www.khug.or.kr/updata/hug/cm/s05/007001742880496764000517.PNG,16830.0,29.81,564.5756457564576,632,화곡역 5호선,54.93333333333333,21767,11
474,20250326,2025.03.26. 10:00 ~ 2025.04.07. 17:00,서울특별시                                                                                          ,서울 강서구                                                                                         ,서울 강서구 화곡동 102-288 아크로뷰 3층 302호                                                                                                                                                                                                                                                                ,다세대주택                                                                                          ,29.81,"170,100,000",no=2024345107,서울 강서구 화곡동 102-288 아크로뷰 3층 302호,37.5393540781785,126.847008187612,http://www.khug.or.kr/updata/hug/cm/s05/007001742880496764000516.PNG,17010.0,29.81,570.6138879570614,632,화곡역 5호선,54.93333333333333,21767,10
473,20250326,2025.03.26. 10:00 ~ 2025.04.07. 17:00,서울특별시                                                                                          ,서울 강서구                                                                                         ,서울 강서구 화곡동 102-288 아크로뷰 5층 502호                                                                                                                                                                                                                                                                ,다세대주택                                                                                          ,29.81,"173,700,000",no=2024133621,서울 강서구 화곡동 102-288 아크로뷰 5층 502호,37.5393540781785,126.847008187612,http://www.khug.or.kr/updata/hug/cm/s05/007001742880496764000510.PNG,17370.0,29.81,582.6903723582691,632,화곡역 5호선,54.93333333333333,21767,10
472,20250326,2025.03.26. 10:00 ~ 2025.04.07. 17:00,서울특별시                                                                                          ,서울 강서구                                                                                         ,서울 강서구 화곡동 102-34 은성캐슬 3층 302호                                                                                                                                                                                                                                                                 ,다세대주택                                                                                          ,23.2,"115,200,000",no=2020204980,서울 강서구 화곡동 102-34 은성캐슬 3층 302호,37.5390984230418,126.846906536829,http://www.khug.or.kr/updata/hug/cm/s05/00700174288032019900031.png,11520.0,23.2,496.5517241379311,636,화곡역 5호선,54.93333333333333,21778,35
471,20250326,2025.03.26. 10:00 ~ 2025.04.07. 17:00,서울특별시                                                                                          ,서울 강서구                                                                                         ,"서울 강서구 화곡동 1038-21, 1038-22 라움하우징 4층 401호                                                                                                                                                                                                                                                     ",다세대주택                                                                                          ,32.12,"203,400,000",no=2022323176,서울 강서구 화곡동 1038-21,37.5432296999501,126.834881957663,http://www.khug.or.kr/updata/hug/cm/s05/007001742880386291000814.PNG,20340.0,32.12,633.2503113325032,522,화곡역 5호선,48.6,23645,10
470,20250326,2025.03.26. 10:00 ~ 2025.04.07. 17:00,서울특별시                                                                                          ,서울 강서구                                                                                         ,"서울 강서구 화곡동 1038-21, 1038-22 라움하우징 5층 501호                                                                                                                                                                                                                                                     ",다세대주택                                                                                          ,46.1,"292,500,000",no=2023026288,서울 강서구 화곡동 1038-21,37.5432296999501,126.834881957663,http://www.khug.or.kr/updata/hug/cm/s05/00700174288041500600041.png,29250.0,46.1,634.4902386117136,522,화곡역 5호선,48.68333333333333,23645,31
469,20250326,2025.03.26. 10:00 ~ 2025.04.07. 17:00,서울특별시                                                                                          ,서울 강서구                                                                                         ,"서울 강서구 화곡동 1038-21, 1038-22 라움하우징 5층 502호                                                                                                                                                                                                                                                     ",다세대주택                                                                                          ,49.08,"311,400,000",no=2023026276,서울 강서구 화곡동 1038-21,37.5432296999501,126.834881957663,http://www.khug.or.kr/updata/hug/cm/s05/007001742880405404000527.png,31140.0,49.08,634.4743276283618,522,화곡역 5호선,48.68333333333333,23645,42
468,20250326,2025.03.26. 10:00 ~ 2025.04.07. 17:00,서울특별시                                                                                          ,서울 강서구                                                                                         ,서울 강서구 화곡동 1040-12 라비앙하우스 5층 502호                                                                                                                                                                                                                                                            ,다세대주택                                                                                          ,26.85,"139,500,000",no=2022126067,서울 강서구 화곡동 1040-12 라비앙하우스 5층 502호,37.5428702974221,126.834114659439,http://www.khug.or.kr/updata/hug/cm/s05/007001742880333222000010.png,13950.0,26.85,519.5530726256983,576,화곡역 5호선,48.18333333333333,23491,27
467,20250326,2025.03.26. 10:00 ~ 2025.04.07. 17:00,서울특별시                                                                                          ,서울 강서구                                                                                         ,서울 강서구 화곡동 1041-29 에스케이그랑빌 2층 202호                                                                                                                                                                                                                                                          ,다세대주택                                                                                          ,30.44,"134,100,000",no=2022377514,서울 강서구 화곡동 1041-29 에스케이그랑빌 2층 202호,37.5419636965217,126.83352702861,http://www.khug.or.kr/updata/hug/cm/s05/007001742880396414000029.png,13410.0,30.44,440.53876478318,613,화곡역 5호선,47.7,23302,31
